N,U,1782,EURINR 28 Sep 2022 CE 77.0000,XX,28-09-2022 14:30,CE,77, ,EURINR,EURINR 28 Sep 2022 CE 77.0000,1,Y,0,1,28-Sep-22,EURINR,0.0025
N,U,1787,EURINR 23 Sep 2022 CE 82.2500,XX,23-09-2022 14:30,CE,82.25, ,EURINR,EURINR 23 Sep 2022 CE 82.2500,1,Y,0,1,23-Sep-22,EURINR,0.0025
N,U,1793,EURINR 28 Dec 2022 PE 81.0000,XX,28-12-2022 14:30,PE,81, ,EURINR,EURINR 28 Dec 2022 PE 81.0000,1,Y,0,1,28-Dec-22,EURINR,0.0025
N,U,1794,EURINR 28 Dec 2022 CE 81.2500,XX,28-12-2022 14:30,CE,81.25, ,EURINR,EURINR 28 Dec 2022 CE 81.2500,1,Y,0,1,28-Dec-22,EURINR,0.0025
N,U,1795,EURINR 23 Sep 2022 PE 82.2500,XX,23-09-2022 14:30,PE,82.25, ,EURINR,EURINR 23 Sep 2022 PE 82.2500,1,Y,0,1,23-Sep-22,EURINR,0.0025
N,U,1796,EURINR 07 Oct 2022 CE 73.7500,XX,07-10-2022 14:30,CE,73.75, ,EURINR,EURINR 07 Oct 2022 CE 73.7500,1,Y,0,1,07-Oct-22,EURINR,0.0025
N,U,1797,EURINR 07 Oct 2022 PE 73.7500,XX,07-10-2022 14:30,PE,73.75, ,EURINR,EURINR 07 Oct 2022 PE 73.7500,1,Y,0,1,07-Oct-22,EURINR,0.0025
N,U,1801,EURINR 28 Sep 2022 PE 77.0000,XX,28-09-2022 14:30,PE,77, ,EURINR,EURINR 28 Sep 2022 PE 77.0000,1,Y,0,1,28-Sep-22,EURINR,0.0025
N,U,1802,EURINR 28 Dec 2022 CE 77.0000,XX,28-12-2022 14:30,CE,77, ,EURINR,EURINR 28 Dec 2022 CE 77.0000,1,Y,0,1,28-Dec-22,EURINR,0.0025
N,U,1803,EURINR 28 Dec 2022 PE 77.0000,XX,28-12-2022 14:30,PE,77, ,EURINR,EURINR 28 Dec 2022 PE 77.0000,1,Y,0,1,28-Dec-22,EURINR,0.0025
N,U,1844,EURINR 28 Dec 2022 PE 81.5000,XX,28-12-2022 14:30,PE,81.5, ,EURINR,EURINR 28 Dec 2022 PE 81.5000,1,Y,0,1,28-Dec-22,EURINR,0.0025
N,U,1845,EURINR 28 Dec 2022 CE 81.7500,XX,28-12-2022 14:30,CE,81.75, ,EURINR,EURINR 28 Dec 2022 CE 81.7500,1,Y,0,1,28-Dec-22,EURINR,0.0025
N,U,1849,EURINR 23 Sep 2022 PE 82.5000,XX,23-09-2022 14:30,PE,82.5, ,EURINR,EURINR 23 Sep 2022 PE 82.5000,1,Y,0,1,23-Sep-22,EURINR,0.0025
N,U,1850,EURINR 23 Sep 2022 CE 82.7500,XX,23-09-2022 14:30,CE,82.75, ,EURINR,EURINR 23 Sep 2022 CE 82.7500,1,Y,0,1,23-Sep-22,EURINR,0.0025
N,U,1888,EURINR 28 Oct 2022 CE 88.2500,XX,28-10-2022 14:30,CE,88.25, ,EURINR,EURINR 28 Oct 2022 CE 88.2500,1,Y,0,1,28-Oct-22,EURINR,0.0025
N,U,1892,EURINR 28 Oct 2022 PE 88.2500,XX,28-10-2022 14:30,PE,88.25, ,EURINR,EURINR 28 Oct 2022 PE 88.2500,1,Y,0,1,28-Oct-22,EURINR,0.0025
N,U,1893,EURINR 04 Nov 2022 PE 75.7500,XX,04-11-2022 14:30,PE,75.75, ,EURINR,EURINR 04 Nov 2022 PE 75.7500,1,Y,0,1,04-Nov-22,EURINR,0.0025
N,U,1926,EURINR 21 Oct 2022 PE 77.5000,XX,21-10-2022 14:30,PE,77.5, ,EURINR,EURINR 21 Oct 2022 PE 77.5000,1,Y,0,1,21-Oct-22,EURINR,0.0025
