N,C,19761,ADFFOODS,EQ,01-01-1980 00:00,XX,0,D,INE939A01011,ADF FOODS LIMITED,1,Y,142889,1,,ADFFOODS,0.05
N,C,34,ADORWELD,EQ,01-01-1980 00:00,XX,0,D,INE007B01023,ADOR WELDING LTD,1,Y,104926,1,,ADORWELD,0.05
N,C,4953,ADROITINFO,EQ,01-01-1980 00:00,XX,0,Z,INE256A01028,ADROIT INFOTECH LIMITED,1,Y,597341,1,,ADROITINFO,0.05
N,C,14813,ADSL,EQ,01-01-1980 00:00,XX,0,D,INE738V01013,ALLIED DIGITAL SERV. LTD,1,Y,884905,1,,ADSL,0.05
N,C,14745,ADVANIHOTR,EQ,01-01-1980 00:00,XX,0,Z,INE736A01011,ADVANI HOT.& RES.(I) LTD,1,Y,1184830,1,,ADVANIHOTR,0.05
N,C,18039,ADVENZYMES,EQ,01-01-1980 00:00,XX,0,C,INE875R01011,ADVANCED ENZYME TECH LTD,1,Y,374776,1,,ADVENZYMES,0.05
N,C,40,AEGISCHEM,EQ,01-01-1980 00:00,XX,0,B,INE008A01015,AEGIS LOGISTICS LIMITED,1,Y,355212,1,,AEGISCHEM,0.05
N,C,9810,AETHER,EQ,01-01-1980 00:00,XX,0,C,INE668F01031,AETHER INDUSTRIES LIMITED,1,Y,100956,1,,AETHER,0.05
N,C,11343,AFFLE,EQ,01-01-1980 00:00,XX,0,A,INE513A01022,AFFLE (INDIA) LIMITED,1,Y,78485,1,,AFFLE,0.05
N,C,3389,AGARIND,EQ,01-01-1980 00:00,XX,0,D,INE182A01018,AGARWAL INDS CORP LTD.,1,Y,159411,1,,AGARIND,0.05
N,C,1412,AGI,EQ,01-01-1980 00:00,XX,0,C,INE07O001018,AGI GREENPAC LIMITED,1,Y,274446,1,,AGI,0.05
N,C,11072,AGRITECH,EQ,01-01-1980 00:00,XX,0,Z,INE495S01016,AGRI-TECH (INDIA) LIMITED,1,Y,194238,1,,AGRITECH,0.05
N,C,9046,AGROPHOS,EQ,01-01-1980 00:00,XX,0,Z,INE662L01016,AGRO PHOS INDIA LIMITED,1,Y,662964,1,,AGROPHOS,0.05
N,C,7927,AGSTRA,EQ,01-01-1980 00:00,XX,0,D,INE382M01027,AGS TRANSACT TECH LTD,1,Y,1201156,1,,AGSTRA,0.05
N,C,19438,AHLEAST,EQ,01-01-1980 00:00,XX,0,Z,INE933A01014,ASIAN HOTELS (EAST) LTD,1,Y,270925,1,,AHLEAST,0.05
N,C,17833,AHLUCONT,EQ,01-01-1980 00:00,XX,0,D,INE864X01013,AHLUWALIA CONT IND LTD,1,Y,220322,1,,AHLUCONT,0.05
N,C,13086,AIAENG,EQ,01-01-1980 00:00,XX,0,A,INE593W01010,AIA ENGINEERING LIMITED,1,Y,38860,1,,AIAENG,0.05
N,C,9897,AIRAN,EQ,01-01-1980 00:00,XX,0,Z,INE451A01017,AIRAN LIMITED,1,Y,4088154,1,,AIRAN,0.05
N,C,6068,AIROLAM,EQ,01-01-1980 00:00,XX,0,Z,INE301A01014,AIRO LAM LIMITED,1,Y,490566,1,,AIROLAM,0.05
N,C,8124,AJANTPHARM,EQ,01-01-1980 00:00,XX,0,A,INE389H01022,AJANTA PHARMA LIMITED,1,Y,78797,1,,AJANTPHARM,0.05
N,C,17307,AJMERA,EQ,01-01-1980 00:00,XX,0,D,INE837H01020,AJMERA REALTY & INF I LTD,1,Y,363294,1,,AJMERA,0.05
N,C,3403,AJOONI,EQ,01-01-1980 00:00,XX,0,Z,INE183A01024,AJOONI BIOTECH LIMITED,1,Y,327180,1,,AJOONI,0.05
N,C,15389,AJRINFRA,EQ,01-01-1980 00:00,XX,0,Z,INE786A01032,AJR INFRA & TOLLING LTD,1,Y,30797864,1,,AJRINFRA,0.05
N,C,13510,AKASH,EQ,01-01-1980 00:00,XX,0,Z,INE627H01017,AKASH INFRA-PROJECTS LTD,1,Y,551404,1,,AKASH,0.05
N,C,9558,AKSHAR,EQ,01-01-1980 00:00,XX,0,Z,INE435A01028,AKSHAR SPINTEX LIMITED,1,Y,817468,1,,AKSHAR,0.05
N,C,20178,AKSHARCHEM,EQ,01-01-1980 00:00,XX,0,Z,INE950I01011,AKSHARCHEM INDIA LIMITED,1,Y,262680,1,,AKSHARCHEM,0.05
N,C,8591,AKSHOPTFBR,EQ,01-01-1980 00:00,XX,0,Z,INE409B01013,AKSH OPTIFIBRE LIMITED,1,Y,5320222,1,,AKSHOPTFBR,0.05
N,C,1467,AKZOINDIA,EQ,01-01-1980 00:00,XX,0,D,INE081A01020,AKZO NOBEL INDIA LIMITED,1,Y,46634,1,,AKZOINDIA,0.05
N,C,9921,ALANKIT,EQ,01-01-1980 00:00,XX,0,Z,INE451L01014,ALANKIT LIMITED,1,Y,4674730,1,,ALANKIT,0.05
N,C,17256,ALBERTDAVD,EQ,01-01-1980 00:00,XX,0,Z,INE835D01023,ALBERT DAVID LIMITED,1,Y,175899,1,,ALBERTDAVD,0.05
N,C,79,ALEMBICLTD,EQ,01-01-1980 00:00,XX,0,C,INE009A01021,ALEMBIC LIMITED,1,Y,1454413,1,,ALEMBICLTD,0.05
N,C,13656,ALICON,EQ,01-01-1980 00:00,XX,0,D,INE644Y01017,ALICON CASTALLOY LIMITED,1,Y,103825,1,,ALICON,0.05
N,C,16959,ALKALI,EQ,01-01-1980 00:00,XX,0,Z,INE825A01020,ALKALI METALS LTD,1,Y,332968,1,,ALKALI,0.05
N,C,11703,ALKEM,EQ,01-01-1980 00:00,XX,0,A,INE548C01032,ALKEM LABORATORIES LTD.,1,Y,30729,1,,ALKEM,0.05
N,C,4487,ALKYLAMINE,EQ,01-01-1980 00:00,XX,0,A,INE236Y01012,ALKYL AMINES CHEM. LTD,1,Y,33708,1,,ALKYLAMINE,0.05
N,C,13501,ALLCARGO,EQ,01-01-1980 00:00,XX,0,B,INE626Z01011,ALLCARGO LOGISTICS LTD,1,Y,249381,1,,ALLCARGO,0.05
N,C,11798,ALLSEC,EQ,01-01-1980 00:00,XX,0,Z,INE558D01021,ALLSEC TECHNOLOGIES LTD,1,Y,198236,1,,ALLSEC,0.05
N,C,16719,ALMONDZ,EQ,01-01-1980 00:00,XX,0,Z,INE810G01011,ALMONDZ GLOBAL SEC LTD,1,Y,846437,1,,ALMONDZ,0.05
N,C,14848,ALPA,EQ,01-01-1980 00:00,XX,0,Z,INE740V01019,ALPA LABORATORIES LTD,1,Y,688028,1,,ALPA,0.05
N,C,14597,ALPHAGEO,EQ,01-01-1980 00:00,XX,0,Z,INE728Z01015,ALPHAGEO (INDIA) LIMITED,1,Y,208126,1,,ALPHAGEO,0.05
N,C,4060,ALPSINDUS,EQ,01-01-1980 00:00,XX,0,Z,INE221B01012,ALPS INDUSTRIES LTD,1,Y,1279032,1,,ALPSINDUS,0.05
N,C,100,AMARAJABAT,EQ,01-01-1980 00:00,XX,0,A,INE00CA01015,AMARA RAJA BATTERIES LTD.,1,Y,197801,1,,AMARAJABAT,0.05
N,C,1185,AMBER,EQ,01-01-1980 00:00,XX,0,A,INE062A01020,AMBER ENTERPRISES (I) LTD,1,Y,44982,1,,AMBER,0.05
N,C,15234,AMBIKCO,EQ,01-01-1980 00:00,XX,0,D,INE767A01016,AMBIKA COTTON MILL LTD.,1,Y,56151,1,,AMBIKCO,0.05
N,C,1270,AMBUJACEM,EQ,01-01-1980 00:00,XX,0,E,INE070C01037,AMBUJA CEMENTS LTD,1,Y,176723,1,,AMBUJACEM,0.05
N,C,5578,AMIORG,EQ,01-01-1980 00:00,XX,0,B,INE285J01028,AMI ORGANICS LIMITED,1,Y,94955,1,,AMIORG,0.05
N,C,2598,AMJLAND,EQ,01-01-1980 00:00,XX,0,Z,INE126J01016,AMJ LAND HOLDINGS LIMITED,1,Y,1340700,1,,AMJLAND,0.05
